nama_bahan	alergen_gluten	alergen_dairy	alergen_nuts	alergen_soy	alergen_eggs	alergen_fish	alergen_shellfish	alergen_sesame	tipe_alergen	sumber
Fish Fillet (500g beku)	1	0	0	0	0	1	0	0	contains	BPOM RI & Kemenkes RI
Tahu Sutra (kotak 250g)	0	0	0	1	0	0	0	0	contains	BPOM RI & Kemenkes RI
Tempe (papan 400g)	0	0	0	1	0	0	0	0	contains	BPOM RI & Kemenkes RI
Oncom (papan 200g)	0	0	0	1	0	0	0	0	contains	BPOM RI & Kemenkes RI
Quinoa (500g)	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Oat (Quaker 500g)	1	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Barley (500g)	1	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Millet (500g)	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Susu Almond (1L)	0	1	1	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Susu Oat (1L)	1	1	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Susu Kedelai (1L)	0	1	0	1	0	0	0	0	contains	BPOM RI & Kemenkes RI
Keju Parmesan (100g)	0	1	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Cream Cheese (200g)	0	1	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Mozzarella (200g)	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Pisang Tanduk	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Mangga Gedong Gincu	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Salak Pondoh	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Nanas Madu	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Belimbing	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Kedondong	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Markisa	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Sirsak	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Buah Naga	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Kiwi	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Pear (apel Korea)	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Peach	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Plum	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Ceri	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Tomat Cherry	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Baby Corn	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Baby Carrot	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Asparagus	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Zucchini	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Buncis Import	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Tepung Gandum Utuh	1	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Roti Gandum	1	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Mie Instan Kuah	1	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Cornflakes	0	0	0	0	0	0	0	0	may_contain	analisis komposisi produk
Granola	1	0	1	0	0	0	0	1	contains	BPOM RI & Kemenkes RI
Susu Skim Bubuk	0	1	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Susu Evaporasi	0	1	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Butter Unsalted	0	1	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Keju Gouda	0	1	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Keju Edam	0	1	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Krim Masak	0	1	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Es Krim Vanilla	0	1	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Es Krim Cokelat	1	1	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
