bahan_a	bahan_b	senyawa_toksik	gejala	level	sumber	deskripsi
Langue de porc en gelée	f	f	The composition includes several synthetic additives such as sodium nitrite (E250) and flavor enhancer (E621), raising significant quality and safety concerns. The presence of artificial colorant (E15	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as sodium nitrite (E250) and flavor enhancer (E621), raising significant quality and safety concerns. The presence of artificial colorant (E150c) further indicates a highly processed product.
Bohneneintopf	f	f	The composition includes modified starch and various preservatives, which raise concerns about processing and ingredient quality. The presence of additives like caramel sugar syrup further indicates a	warning	Zerotox/Open Food Facts	The composition includes modified starch and various preservatives, which raise concerns about processing and ingredient quality. The presence of additives like caramel sugar syrup further indicates a highly processed product.
Mini potée	f	f	The composition includes sodium nitrite as a preservative and sodium erythorbate as an antioxidant, raising concerns about synthetic additives. The presence of celery may pose allergen risks.	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and sodium erythorbate as an antioxidant, raising concerns about synthetic additives. The presence of celery may pose allergen risks.
4 Jambonneaux de porc braisés	f	f	The composition includes E250 (sodium nitrite) and E301 (ascorbic acid) as preservatives, raising concerns about synthetic additives. The presence of sugar and natural flavors also indicates a process	warning	Zerotox/Open Food Facts	The composition includes E250 (sodium nitrite) and E301 (ascorbic acid) as preservatives, raising concerns about synthetic additives. The presence of sugar and natural flavors also indicates a processed product.
Ragout de pavo marinado	f	f	The composition includes preservatives like E-250 and stabilizers such as E-451, indicating a highly processed product with potential quality concerns. The presence of multiple additives raises safety	warning	Zerotox/Open Food Facts	The composition includes preservatives like E-250 and stabilizers such as E-451, indicating a highly processed product with potential quality concerns. The presence of multiple additives raises safety issues.
Erbseneintopf mit geräuchertem Bauchspeck	f	f	The composition includes sodium nitrite as a preservative and modified starch, raising concerns about synthetic additives. The presence of smoked bacon and various thickeners indicates a processed pro	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and modified starch, raising concerns about synthetic additives. The presence of smoked bacon and various thickeners indicates a processed product.
Choucroute Royale cuisinée au Riesling	f	f	The composition includes multiple processed meats and preservatives like sodium nitrite (E250) and stabilizers (E451). These synthetic additives raise significant quality and safety concerns.	warning	Zerotox/Open Food Facts	The composition includes multiple processed meats and preservatives like sodium nitrite (E250) and stabilizers (E451). These synthetic additives raise significant quality and safety concerns.
Saucisse aux lentilles	f	f	The composition includes several synthetic additives such as sodium nitrite (E250) and modified starch, raising significant quality concerns. The presence of multiple preservatives and artificial ingr	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as sodium nitrite (E250) and modified starch, raising significant quality concerns. The presence of multiple preservatives and artificial ingredients indicates a highly processed product.
Möhrentopf	f	f	The composition includes several processed ingredients like sodium sulfite and carboxymethylcellulose, raising quality concerns. The presence of pork and wheat also indicates potential allergen risks.	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients like sodium sulfite and carboxymethylcellulose, raising quality concerns. The presence of pork and wheat also indicates potential allergen risks.
Le pâté de jambon	f	f	The composition includes sodium nitrite as a preservative and carmine as a colorant, both of which raise safety concerns. The presence of emulsifiers E450 and E451 indicates a processed product with p	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and carmine as a colorant, both of which raise safety concerns. The presence of emulsifiers E450 and E451 indicates a processed product with potential quality issues.
Saucisses Pur Porc aux Lentilles	f	f	The product contains several synthetic additives such as sodium glutamate and E250, which raise quality concerns. The presence of processed ingredients like flour and dehydrated plasma also indicates 	warning	Zerotox/Open Food Facts	The product contains several synthetic additives such as sodium glutamate and E250, which raise quality concerns. The presence of processed ingredients like flour and dehydrated plasma also indicates a lower quality composition.
Les Saucisses pur porc aux lentilles	f	f	The composition includes several synthetic additives such as sodium glutamate and E250, indicating a highly processed product with significant quality concerns. The presence of multiple preservatives 	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as sodium glutamate and E250, indicating a highly processed product with significant quality concerns. The presence of multiple preservatives and flavor enhancers raises safety issues.
Saucisses et épaule de porc aux lentilles	f	f	The composition includes several processed ingredients such as sodium nitrite (E250) and stabilizers (E451), raising quality concerns. The presence of multiple preservatives indicates a highly process	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as sodium nitrite (E250) and stabilizers (E451), raising quality concerns. The presence of multiple preservatives indicates a highly processed product.
1 Pâté de Campagne et 2 Pâtés de Foie	f	f	The product contains sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. The presence of processed ingredients like wheat flour and natural flavors also indicat	warning	Zerotox/Open Food Facts	The product contains sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. The presence of processed ingredients like wheat flour and natural flavors also indicates a lower quality composition.
Le Cassoulet recette sans nitrite	f	f	The composition includes several preservatives like sodium nitrite (E250) and calcium chloride, raising significant quality concerns. The presence of processed ingredients indicates a highly processed	warning	Zerotox/Open Food Facts	The composition includes several preservatives like sodium nitrite (E250) and calcium chloride, raising significant quality concerns. The presence of processed ingredients indicates a highly processed product.
Les saucisses aux haricots	f	f	The composition includes several synthetic additives such as E250 (sodium nitrite) and E407a (carrageenan), raising significant quality and safety concerns. The presence of multiple preservatives indi	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as E250 (sodium nitrite) and E407a (carrageenan), raising significant quality and safety concerns. The presence of multiple preservatives indicates a highly processed product.
Rillettes fines et éclats de foie Delpeyrat 180G, 1 Bocal	f	f	The composition includes sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. The presence of foie gras and pork also indicates a high-fat content, contributing 	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. The presence of foie gras and pork also indicates a high-fat content, contributing to the low rating.
Lentilles préparées	f	f	The composition includes several problematic ingredients such as E621 (monosodium glutamate) and E631 (sodium inosinate), which are synthetic flavor enhancers. These additives raise significant qualit	warning	Zerotox/Open Food Facts	The composition includes several problematic ingredients such as E621 (monosodium glutamate) and E631 (sodium inosinate), which are synthetic flavor enhancers. These additives raise significant quality concerns due to their processed nature.
La Champêtre - petits pois - champignons de Paris - carottes	f	f	The composition includes carrageenan as a stabilizer and chicken fat, raising concerns about synthetic additives and animal-derived ingredients. The presence of sugar and natural flavors also indicate	warning	Zerotox/Open Food Facts	The composition includes carrageenan as a stabilizer and chicken fat, raising concerns about synthetic additives and animal-derived ingredients. The presence of sugar and natural flavors also indicates a processed product.
Langue en gelée	f	f	The composition includes several preservatives like sodium nitrite (E250) and potassium sorbate (E202), raising concerns about synthetic additives and overall quality. The presence of artificial color	warning	Zerotox/Open Food Facts	The composition includes several preservatives like sodium nitrite (E250) and potassium sorbate (E202), raising concerns about synthetic additives and overall quality. The presence of artificial colorant (E150a) further indicates a processed nature.
Gésiers de canard entiers confits	f	f	The composition includes sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. The presence of duck fat and salt indicates a high-fat, high-sodium product.	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. The presence of duck fat and salt indicates a high-fat, high-sodium product.
Saucisses aux Lentilles	f	f	The composition includes sodium nitrite as a preservative and modified corn starch, raising concerns about synthetic additives. The presence of mechanically separated meat also indicates lower quality	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and modified corn starch, raising concerns about synthetic additives. The presence of mechanically separated meat also indicates lower quality meat sourcing.
Saucisses fumées aux lentilles	f	f	The product contains several synthetic additives such as sodium nitrite and modified corn starch, raising significant quality and safety concerns. The presence of mechanically separated turkey meat al	warning	Zerotox/Open Food Facts	The product contains several synthetic additives such as sodium nitrite and modified corn starch, raising significant quality and safety concerns. The presence of mechanically separated turkey meat also indicates lower quality meat sourcing.
Miette Crabe Grade C 121GR*	f	f	The composition includes sodium bisulfite (E223) as a preservative and E640, E631 as flavor enhancers, raising concerns about synthetic additives and processing. The presence of sugar and salt also in	warning	Zerotox/Open Food Facts	The composition includes sodium bisulfite (E223) as a preservative and E640, E631 as flavor enhancers, raising concerns about synthetic additives and processing. The presence of sugar and salt also indicates a processed product.
Api punu pua' atoro	f	f	The composition includes sodium nitrite, a synthetic preservative, and multiple gelling agents (E407a, E410, E415), indicating significant processing and raising quality concerns.	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite, a synthetic preservative, and multiple gelling agents (E407a, E410, E415), indicating significant processing and raising quality concerns.
Langue de porc en gelée	f	f	The composition includes several synthetic additives such as E250 (sodium nitrite) and E150a (caramel color), raising significant quality and safety concerns. The presence of gélatine de porc also ind	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as E250 (sodium nitrite) and E150a (caramel color), raising significant quality and safety concerns. The presence of gélatine de porc also indicates animal-derived content.
Pâté de campagne	f	f	The composition includes sodium nitrite as a preservative and sodium erythorbate as an antioxidant, raising concerns about synthetic additives. The presence of sugar and flour also indicates a process	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and sodium erythorbate as an antioxidant, raising concerns about synthetic additives. The presence of sugar and flour also indicates a processed nature.
6 Tomates Farcies	f	f	The composition includes several processed ingredients such as nitrite salt and caramelized sugar, raising quality concerns. The presence of preservatives and artificial flavors indicates a highly pro	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as nitrite salt and caramelized sugar, raising quality concerns. The presence of preservatives and artificial flavors indicates a highly processed product.
Pâté aux 3 poivres	f	f	The composition includes sodium nitrite and sodium lactate as preservatives, raising concerns about synthetic additives. The presence of milk powder also indicates potential allergen risks.	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite and sodium lactate as preservatives, raising concerns about synthetic additives. The presence of milk powder also indicates potential allergen risks.
Cocktail de fruits au sirop léger	f	f	The composition includes glucose-fructose syrup and sugar, which are processed sweeteners raising quality concerns. The presence of E127, an artificial colorant, further indicates a highly processed p	warning	Zerotox/Open Food Facts	The composition includes glucose-fructose syrup and sugar, which are processed sweeteners raising quality concerns. The presence of E127, an artificial colorant, further indicates a highly processed product.
Saucisses aux lentilles	f	f	The composition includes several synthetic additives like sodium nitrite (E250) and stabilizers (E451), raising significant quality concerns. The presence of sugars and glucose syrup further complicat	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium nitrite (E250) and stabilizers (E451), raising significant quality concerns. The presence of sugars and glucose syrup further complicates the safety profile.
Saucisses aux lentilles	f	f	The composition includes several synthetic additives like E250 (sodium nitrite) and E407 (carrageenan), raising significant quality concerns. The presence of multiple preservatives and sugars indicate	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like E250 (sodium nitrite) and E407 (carrageenan), raising significant quality concerns. The presence of multiple preservatives and sugars indicates a highly processed product.
Petit salé aux lentilles	f	f	The composition includes processed ingredients like E250 (sodium nitrite) and E451 (stabilizer), raising safety concerns. The presence of meat and preservatives indicates a highly processed product.	warning	Zerotox/Open Food Facts	The composition includes processed ingredients like E250 (sodium nitrite) and E451 (stabilizer), raising safety concerns. The presence of meat and preservatives indicates a highly processed product.
Terrine DE LAPIN	f	f	The composition includes sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. The presence of multiple animal-derived ingredients also indicates a less favorable	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. The presence of multiple animal-derived ingredients also indicates a less favorable quality profile.
PATE CAMPAGNE BRETON - TERRINE DE CAMPAGNE LABEL ROUGE 3,5 Kg TRAD IGP	f	f	The composition includes sodium nitrite as a preservative and carrageenan as a thickener, raising significant quality concerns due to their synthetic nature. The presence of multiple animal-derived in	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and carrageenan as a thickener, raising significant quality concerns due to their synthetic nature. The presence of multiple animal-derived ingredients also contributes to the low rating.
Rognons a la vigneronne 330g	f	f	The composition includes several processed ingredients such as maltodextrin and caramel color, raising quality concerns. The presence of lactose and milk proteins may affect those with dairy sensitivi	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as maltodextrin and caramel color, raising quality concerns. The presence of lactose and milk proteins may affect those with dairy sensitivities.
Petit salé aux lentilles 840g	f	f	The composition includes sodium nitrite as a preservative and modified starch, raising concerns about synthetic additives. The presence of processed meat and stabilizers further indicates a highly pro	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and modified starch, raising concerns about synthetic additives. The presence of processed meat and stabilizers further indicates a highly processed product.
Choucroute royale cuisiné au riesling	f	f	The composition includes sodium nitrite as a preservative and monosodium glutamate as a flavor enhancer, raising concerns about synthetic additives. The presence of polyphosphates also indicates proce	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and monosodium glutamate as a flavor enhancer, raising concerns about synthetic additives. The presence of polyphosphates also indicates processing.
Potée auvergnate 420g	f	f	The composition includes sodium nitrite as a preservative and multiple stabilizers like diphosphates, raising concerns about synthetic additives. The presence of processed meats further contributes to	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and multiple stabilizers like diphosphates, raising concerns about synthetic additives. The presence of processed meats further contributes to the low rating.
Langue de Porc en gelée	f	f	The composition includes sodium nitrite and sodium ascorbate as preservatives, raising concerns about synthetic additives. Carrageenan is also present, indicating a highly processed product.	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite and sodium ascorbate as preservatives, raising concerns about synthetic additives. Carrageenan is also present, indicating a highly processed product.
Choucroute garnie supérieure	f	f	The composition includes several synthetic preservatives like sodium nitrite (E250) and potassium sorbate (E202), raising significant quality concerns. The presence of milk proteins and sulfites also 	warning	Zerotox/Open Food Facts	The composition includes several synthetic preservatives like sodium nitrite (E250) and potassium sorbate (E202), raising significant quality concerns. The presence of milk proteins and sulfites also indicates potential allergen risks.
Terrine de Campagne - 180g	f	f	The composition includes sodium nitrite as a preservative and sodium erythorbate as an antioxidant, both raising safety concerns due to their synthetic nature. The presence of flour and sugar also ind	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and sodium erythorbate as an antioxidant, both raising safety concerns due to their synthetic nature. The presence of flour and sugar also indicates a processed product.
Choucroute Garnie	f	f	The composition includes several synthetic additives like E250 (sodium nitrite) and E301 (ascorbic acid), raising significant quality concerns. The presence of multiple preservatives and stabilizers i	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like E250 (sodium nitrite) and E301 (ascorbic acid), raising significant quality concerns. The presence of multiple preservatives and stabilizers indicates a highly processed product.
Pâté De Campagne De Qualité Supérieur	f	f	The composition includes sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. Additionally, the presence of lactose and milk proteins indicates potential allerge	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. Additionally, the presence of lactose and milk proteins indicates potential allergen risks.
Terrine de Lapin aux noisettes	f	f	The composition includes sodium nitrite as a preservative and caramel color, indicating a highly processed product with significant quality concerns. The presence of milk proteins and wheat flour also	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and caramel color, indicating a highly processed product with significant quality concerns. The presence of milk proteins and wheat flour also raises allergen issues.
Petit salé aux lentilles	f	f	The composition includes several synthetic additives such as sodium nitrite (E250) and stabilizers (E450, E451), raising significant quality concerns. The presence of processed ingredients indicates a	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as sodium nitrite (E250) and stabilizers (E450, E451), raising significant quality concerns. The presence of processed ingredients indicates a highly processed product.
Saucisse aux lentilles cuisinés	f	f	The composition includes several processed ingredients such as sodium and various stabilizers like E407a and E452, raising quality concerns. The presence of meat and soy also indicates potential aller	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as sodium and various stabilizers like E407a and E452, raising quality concerns. The presence of meat and soy also indicates potential allergen risks.
Petit salé aux lentilles cuisinées	f	f	The product contains sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. Additionally, the presence of stabilizers and thickeners indicates a processed composit	warning	Zerotox/Open Food Facts	The product contains sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. Additionally, the presence of stabilizers and thickeners indicates a processed composition.
La Choucroute	f	f	The composition includes several processed ingredients such as E407a (gelling agent) and E450, E452 (stabilizers), raising concerns about synthetic additives. The presence of preservatives like E250 a	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as E407a (gelling agent) and E450, E452 (stabilizers), raising concerns about synthetic additives. The presence of preservatives like E250 and E316 further indicates a highly processed nature.
Les Saucisses aux Lentilles	f	f	The composition includes several processed ingredients such as sodium nitrite (E250) and carrageenan (E407a), raising quality and safety concerns. The presence of preservatives and stabilizers indicat	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as sodium nitrite (E250) and carrageenan (E407a), raising quality and safety concerns. The presence of preservatives and stabilizers indicates a highly processed product.
Saucisses aux Lentilles	f	f	The composition includes several processed ingredients such as sodium phosphates (E450, E451) and monosodium glutamate (E621), raising quality concerns. The presence of artificial additives indicates 	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as sodium phosphates (E450, E451) and monosodium glutamate (E621), raising quality concerns. The presence of artificial additives indicates a highly processed product.
Saucisses Aux Lentilles, Les Connaisseurs, 420 Grammes, Marque Leader Price	f	f	The composition includes several processed ingredients such as sodium nitrite (E250) and stabilizers (E450, E451), raising significant quality concerns. The presence of artificial flavors and thickene	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as sodium nitrite (E250) and stabilizers (E450, E451), raising significant quality concerns. The presence of artificial flavors and thickeners further indicates a highly processed product.
Saucisses lentilles	f	f	The composition includes several processed ingredients such as sodium nitrite (E250) and stabilizers (E450, E451), raising significant quality concerns. The presence of artificial flavor enhancers and	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as sodium nitrite (E250) and stabilizers (E450, E451), raising significant quality concerns. The presence of artificial flavor enhancers and thickeners further indicates a highly processed product.
2 Pâtés de Foie et Pâté de Campagne	f	f	The composition includes E520 and E250 as preservatives, which are synthetic additives that raise quality concerns. The presence of lactose and dextrose also indicates processed ingredients.	warning	Zerotox/Open Food Facts	The composition includes E520 and E250 as preservatives, which are synthetic additives that raise quality concerns. The presence of lactose and dextrose also indicates processed ingredients.
Thon piquant	f	f	The composition includes several synthetic additives like sodium benzoate (E211) and potassium sorbate (E202), raising concerns about quality and safety. The presence of palm fat and maltodextrin furt	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium benzoate (E211) and potassium sorbate (E202), raising concerns about quality and safety. The presence of palm fat and maltodextrin further indicates a highly processed product.
Paté de campagne	f	f	The composition includes sodium nitrite as a preservative and sodium erythorbate as an antioxidant, raising concerns about synthetic additives. The presence of sugar and dextrose also indicates a proc	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and sodium erythorbate as an antioxidant, raising concerns about synthetic additives. The presence of sugar and dextrose also indicates a processed nature.
Pâte de campagne, recette à l'ancienne	f	f	The composition includes sodium nitrite as a preservative and sodium erythorbate as an antioxidant, raising concerns about synthetic additives. The presence of gluten and sugar also indicates potentia	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and sodium erythorbate as an antioxidant, raising concerns about synthetic additives. The presence of gluten and sugar also indicates potential quality issues.
Blanc de dinde	f	f	The composition includes sodium nitrite as a preservative and carrageenan as a gelling agent, both of which raise safety concerns. The presence of these additives indicates a processed product with po	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and carrageenan as a gelling agent, both of which raise safety concerns. The presence of these additives indicates a processed product with potential quality issues.
Pâte de campagne de qualité supérieure	f	f	The composition includes sodium nitrite as a preservative and sodium erythorbate as an antioxidant, both of which raise safety concerns due to their synthetic nature. The presence of sugar and flour a	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and sodium erythorbate as an antioxidant, both of which raise safety concerns due to their synthetic nature. The presence of sugar and flour also indicates a processed product.
Petit salé aux lentilles	f	f	The composition includes several processed ingredients like sodium nitrite (E250) and E412 as thickener, raising quality concerns. The presence of preservatives indicates a highly processed product.	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients like sodium nitrite (E250) and E412 as thickener, raising quality concerns. The presence of preservatives indicates a highly processed product.
Petit salé aux lentilles	f	f	The composition includes sodium nitrite and sodium erythorbate as preservatives, raising concerns about synthetic additives. The presence of processed meats also contributes to the lower rating.	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite and sodium erythorbate as preservatives, raising concerns about synthetic additives. The presence of processed meats also contributes to the lower rating.
Haricot Blanc Bocal X 12	f	f	The ingredient list includes sodium bisulfite as an antioxidant and E385 as a sequestrant. These synthetic additives raise significant quality and safety concerns.	warning	Zerotox/Open Food Facts	The ingredient list includes sodium bisulfite as an antioxidant and E385 as a sequestrant. These synthetic additives raise significant quality and safety concerns.
Paté de campagne	f	f	The composition includes sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. The presence of wheat flour and natural flavors also indicates a processed product.	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. The presence of wheat flour and natural flavors also indicates a processed product.
Pâté de Foie	f	f	The composition includes sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. The presence of processed ingredients like wheat flour and dextrose further indicat	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative, which raises safety concerns due to its synthetic nature. The presence of processed ingredients like wheat flour and dextrose further indicates a highly processed product.
La Terrine de campagne	f	f	The composition includes several synthetic additives such as E250 (preservative) and E150a (colorant), raising significant quality and safety concerns. The presence of lactose and milk proteins may al	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as E250 (preservative) and E150a (colorant), raising significant quality and safety concerns. The presence of lactose and milk proteins may also affect those with sensitivities.
Queues de porc en saumure	f	f	The composition includes sodium nitrite (E250) and sodium nitrate (E252) as preservatives, which raise significant safety concerns due to their potential health risks. The presence of carmine (E120) a	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite (E250) and sodium nitrate (E252) as preservatives, which raise significant safety concerns due to their potential health risks. The presence of carmine (E120) as a colorant also indicates a highly processed product.
Véritable choucroute d'Alsace cuisinée au Riesling et à la graisse d'oie, qualité supérieure	f	f	The composition includes several synthetic additives such as E250 (preservative) and E621 (flavor enhancer), raising significant quality concerns. The presence of multiple processed ingredients indica	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as E250 (preservative) and E621 (flavor enhancer), raising significant quality concerns. The presence of multiple processed ingredients indicates a highly processed product.
Pâté de tête aux cornichons pur porc	f	f	The composition includes several synthetic additives such as E250 (preservative) and E120 (colorant), raising significant quality concerns. The presence of multiple gelling agents and artificial color	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as E250 (preservative) and E120 (colorant), raising significant quality concerns. The presence of multiple gelling agents and artificial colors indicates a highly processed product.
Pâté aux Olives	f	f	The composition includes several synthetic additives such as E250 (preservative) and E120 (colorant), raising significant quality and safety concerns. The presence of animal-derived proteins also adds	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as E250 (preservative) and E120 (colorant), raising significant quality and safety concerns. The presence of animal-derived proteins also adds to the risk profile.
TR. Pate Jambon	f	f	The composition includes several synthetic additives such as E120 (colorant) and E621 (flavor enhancer), raising significant quality and safety concerns. The presence of multiple proteins and stabiliz	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as E120 (colorant) and E621 (flavor enhancer), raising significant quality and safety concerns. The presence of multiple proteins and stabilizers further complicates the ingredient profile.
Punu pua'atoro	f	f	The composition includes sodium nitrite (E250) as a preservative, which raises safety concerns due to its synthetic nature. The presence of processed ingredients indicates a lower quality product.	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite (E250) as a preservative, which raises safety concerns due to its synthetic nature. The presence of processed ingredients indicates a lower quality product.
VIANDE DE BŒUF EN CONSERVE	f	f	The composition includes sodium nitrite, a synthetic preservative, and E407 (carrageenan), which raises concerns about processed additives. This indicates a lower quality rating due to the presence of	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite, a synthetic preservative, and E407 (carrageenan), which raises concerns about processed additives. This indicates a lower quality rating due to the presence of these ingredients.
Lentilles	f	f	The composition includes several problematic ingredients such as pork bones and duck fat, which raise quality concerns. The presence of natural flavoring and potential gluten traces further complicate	warning	Zerotox/Open Food Facts	The composition includes several problematic ingredients such as pork bones and duck fat, which raise quality concerns. The presence of natural flavoring and potential gluten traces further complicates the safety assessment.
Museau de bœuf à la Lyonnaise	f	f	The composition includes several synthetic additives such as E250 (sodium nitrite) and E316 (sodium erythorbate), raising significant quality and safety concerns. The presence of artificial colorants 	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as E250 (sodium nitrite) and E316 (sodium erythorbate), raising significant quality and safety concerns. The presence of artificial colorants and preservatives indicates a highly processed product.
Assiette de joue de porc en gelée	f	f	The composition includes sodium nitrite and sodium ascorbate as preservatives, raising concerns about synthetic additives. The presence of lactose and artificial colorants further indicates quality is	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite and sodium ascorbate as preservatives, raising concerns about synthetic additives. The presence of lactose and artificial colorants further indicates quality issues.
Boite 1 / 2 Crabe Selection Nautilus	f	f	The composition includes several additives such as sodium disulfite (E223) and artificial flavor enhancers (E640, E631, E627), raising significant quality concerns due to their synthetic nature.	warning	Zerotox/Open Food Facts	The composition includes several additives such as sodium disulfite (E223) and artificial flavor enhancers (E640, E631, E627), raising significant quality concerns due to their synthetic nature.
Petit salé Lillois	f	f	The composition includes sodium nitrite and potassium sorbate as preservatives, raising significant quality concerns. The presence of carrageenan and artificial flavors further indicates a highly proc	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite and potassium sorbate as preservatives, raising significant quality concerns. The presence of carrageenan and artificial flavors further indicates a highly processed product.
Potjevleesh	f	f	The composition of Potjevleesh includes sodium nitrite as a preservative and caramel color, indicating a highly processed product with significant quality concerns. The presence of multiple additives 	warning	Zerotox/Open Food Facts	The composition of Potjevleesh includes sodium nitrite as a preservative and caramel color, indicating a highly processed product with significant quality concerns. The presence of multiple additives raises safety issues.
Petit salé lillois	f	f	The composition includes sodium nitrite and potassium sorbate as preservatives, raising significant safety concerns. The presence of artificial colorants and flavor enhancers further indicates a highl	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite and potassium sorbate as preservatives, raising significant safety concerns. The presence of artificial colorants and flavor enhancers further indicates a highly processed product.
Pate de foie pur porc CABANES	f	f	The composition includes E450 as a stabilizer, which raises concerns about synthetic additives. The presence of pork fat and liver indicates a high-fat content, contributing to the low rating.	warning	Zerotox/Open Food Facts	The composition includes E450 as a stabilizer, which raises concerns about synthetic additives. The presence of pork fat and liver indicates a high-fat content, contributing to the low rating.
Pate de foie pur porc CABANE	f	f	The composition includes sodium nitrite and potassium nitrate as preservatives, raising concerns about synthetic additives. The presence of lactose and sugar also indicates a processed nature.	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite and potassium nitrate as preservatives, raising concerns about synthetic additives. The presence of lactose and sugar also indicates a processed nature.
Tête roulée langue	f	f	The composition includes several synthetic additives such as E250 (sodium nitrite) and E621 (monosodium glutamate), raising significant quality and safety concerns. The presence of multiple preservati	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as E250 (sodium nitrite) and E621 (monosodium glutamate), raising significant quality and safety concerns. The presence of multiple preservatives indicates a highly processed product.
Pâté de tête persillé GAILLARD	f	f	The composition includes several synthetic additives such as E250 (preservative) and E150d (colorant), raising significant quality concerns. The presence of multiple stabilizers and flavor enhancers f	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as E250 (preservative) and E150d (colorant), raising significant quality concerns. The presence of multiple stabilizers and flavor enhancers further indicates a highly processed product.
Joues de Porc aux Cornichons	f	f	The composition includes several synthetic additives such as E224 (sulfites) and E621 (flavor enhancer), indicating a highly processed product with significant quality concerns.	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as E224 (sulfites) and E621 (flavor enhancer), indicating a highly processed product with significant quality concerns.
